window_seconds,variant,decoder,room,support,precision_weighted,recall_weighted,f1_weighted,n_folds
3,M5,raw,517,13.0,0.4013186813186813,0.6153846153846154,0.3945868945868946,3.0
3,M5,raw,518,15.0,0.014414414414414415,0.13333333333333333,0.026016260162601626,3.0
3,M5,raw,520,144.0,0.4615905930561103,0.8055555555555556,0.5570244618810111,4.0
3,M5,raw,522,101.0,0.8791396381017411,0.6039603960396039,0.7001051467168036,2.0
3,M5,raw,523,226.0,0.6782079646017699,0.7389380530973452,0.6872823728763755,4.0
3,M5,raw,cafeteria,1875.0,0.4013678980647487,0.2944,0.32040637888490586,4.0
3,M5,raw,cleaning,297.0,0.24387430751067116,0.47474747474747475,0.3192472935147499,4.0
3,M5,raw,hallway,356.0,0.08677178736663203,0.019662921348314606,0.020818883802654092,3.0
3,M5,raw,kitchen,2128.0,0.5963532533599178,0.6499060150375939,0.6105211907614025,4.0
3,M5,raw,nurse station,3424.0,0.8281472405532837,0.7029789719626168,0.7557270725768409,4.0
