window_seconds,variant,test_day,decoder,true_room,pred_room,count
1,M2,2023-04-10,fixed_decoder,cafeteria,hallway,0
1,M2,2023-04-10,fixed_decoder,cafeteria,kitchen,1151
1,M2,2023-04-10,fixed_decoder,cafeteria,nurse station,399
1,M2,2023-04-10,fixed_decoder,cleaning,501,0
1,M2,2023-04-10,fixed_decoder,cleaning,506,0
1,M2,2023-04-10,fixed_decoder,cleaning,508,0
1,M2,2023-04-10,fixed_decoder,cleaning,511,0
1,M2,2023-04-10,fixed_decoder,cleaning,516,0
1,M2,2023-04-10,fixed_decoder,cleaning,520,0
1,M2,2023-04-10,fixed_decoder,cleaning,523,0
1,M2,2023-04-10,fixed_decoder,cleaning,cafeteria,0
1,M2,2023-04-10,fixed_decoder,cleaning,cleaning,41
1,M2,2023-04-10,fixed_decoder,cleaning,hallway,0
1,M2,2023-04-10,fixed_decoder,cleaning,kitchen,0
1,M2,2023-04-10,fixed_decoder,cleaning,nurse station,13
1,M2,2023-04-10,fixed_decoder,hallway,501,0
1,M2,2023-04-10,fixed_decoder,hallway,506,0
1,M2,2023-04-10,fixed_decoder,hallway,508,235
1,M2,2023-04-10,fixed_decoder,hallway,511,123
1,M2,2023-04-10,fixed_decoder,hallway,516,45
1,M2,2023-04-10,fixed_decoder,hallway,520,0
1,M2,2023-04-10,fixed_decoder,hallway,523,25
1,M2,2023-04-10,fixed_decoder,hallway,cafeteria,0
1,M2,2023-04-10,fixed_decoder,hallway,cleaning,3
1,M2,2023-04-10,fixed_decoder,hallway,hallway,0
1,M2,2023-04-10,fixed_decoder,hallway,kitchen,9
1,M2,2023-04-10,fixed_decoder,hallway,nurse station,160
1,M2,2023-04-10,fixed_decoder,kitchen,501,0
1,M2,2023-04-10,fixed_decoder,kitchen,506,0
1,M2,2023-04-10,fixed_decoder,kitchen,508,0
1,M2,2023-04-10,fixed_decoder,kitchen,511,0
1,M2,2023-04-10,fixed_decoder,kitchen,516,0
1,M2,2023-04-10,fixed_decoder,kitchen,520,0
1,M2,2023-04-10,fixed_decoder,kitchen,523,35
1,M2,2023-04-10,fixed_decoder,kitchen,cafeteria,15
1,M2,2023-04-10,fixed_decoder,kitchen,cleaning,0
1,M2,2023-04-10,fixed_decoder,kitchen,hallway,0
1,M2,2023-04-10,fixed_decoder,kitchen,kitchen,963
1,M2,2023-04-10,fixed_decoder,kitchen,nurse station,8
1,M2,2023-04-10,fixed_decoder,nurse station,501,0
1,M2,2023-04-10,fixed_decoder,nurse station,506,0
1,M2,2023-04-10,fixed_decoder,nurse station,508,86
1,M2,2023-04-10,fixed_decoder,nurse station,511,44
1,M2,2023-04-10,fixed_decoder,nurse station,516,0
1,M2,2023-04-10,fixed_decoder,nurse station,520,0
1,M2,2023-04-10,fixed_decoder,nurse station,523,0
1,M2,2023-04-10,fixed_decoder,nurse station,cafeteria,55
1,M2,2023-04-10,fixed_decoder,nurse station,cleaning,0
1,M2,2023-04-10,fixed_decoder,nurse station,hallway,0
1,M2,2023-04-10,fixed_decoder,nurse station,kitchen,137
1,M2,2023-04-10,fixed_decoder,nurse station,nurse station,3143
1,M2,2023-04-11,raw,502,502,7
1,M2,2023-04-11,raw,502,511,0
1,M2,2023-04-11,raw,502,512,0
1,M2,2023-04-11,raw,502,513,1
1,M2,2023-04-11,raw,502,516,1
